ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-11-08 15:00:00+00:00,34,23,620775380,9.5,9.5,9.5,9.5,2,MDY   241115C00595000
2024-11-08 15:00:00+00:00,34,26,620775380,10.5,10.5,10.5,10.5,4,MDY   241115C00595000
2024-11-08 15:00:00+00:00,34,29,620775380,8.7,8.7,8.7,8.7,2,MDY   241115C00595000
2024-11-08 15:00:00+00:00,34,35,620775380,10.27,10.27,9.95,9.95,3,MDY   241115C00595000
2024-11-08 15:00:00+00:00,34,37,637538133,1.5,1.5,1.5,1.5,1,MDY   241220P00540000
2024-11-08 15:00:00+00:00,34,29,637551738,0.4,0.45,0.4,0.45,40,MDY   250620P00325000
2024-11-08 15:00:00+00:00,34,29,637548742,0.85,0.85,0.7,0.85,3,MDY   250620P00350000
2024-11-08 16:00:00+00:00,34,22,620762491,37.41,37.41,37.41,37.41,1,MDY   250117C00575000
2024-11-08 16:00:00+00:00,34,22,620758563,8.73,8.74,8.73,8.74,3,MDY   250117C00625000
2024-11-08 16:00:00+00:00,34,28,637544198,13.05,13.05,13.05,13.05,1,MDY   241220C00605000
2024-11-08 16:00:00+00:00,34,29,637548723,0.55,0.55,0.55,0.55,1,MDY   250620P00320000
2024-11-08 16:00:00+00:00,34,37,620779788,6.4,6.4,6.4,6.4,2,MDY   250919P00500000
2024-11-08 16:00:00+00:00,34,22,637538184,26.22,26.22,26.22,26.22,2,MDY   241220C00585000
2024-11-08 16:00:00+00:00,34,28,620766399,11.55,11.55,11.55,11.55,1,MDY   250117C00615000
2024-11-08 16:00:00+00:00,34,36,637538142,6.35,6.35,6.35,6.35,2,MDY   241220C00620000
2024-11-08 16:00:00+00:00,34,26,620761353,6.0,6.0,6.0,6.0,10,MDY   250321C00660000
2024-11-08 17:00:00+00:00,34,26,637535102,14.6,14.6,14.6,14.6,5,MDY   241220C00600000
2024-11-08 17:00:00+00:00,34,26,637551706,27.53,27.53,27.53,27.53,1,MDY   250620C00620000
2024-11-08 17:00:00+00:00,34,26,620762502,9.6,9.6,9.6,9.6,1,MDY   250117C00620000
2024-11-08 18:00:00+00:00,34,26,637544167,9.4,9.4,9.4,9.4,1,MDY   241220C00610000
2024-11-08 18:00:00+00:00,34,26,637544145,8.99,8.99,8.99,8.99,20,MDY   250620C00675000
2024-11-08 18:00:00+00:00,34,37,620775380,10.5,10.5,10.5,10.5,10,MDY   241115C00595000
2024-11-08 18:00:00+00:00,34,29,637548723,0.55,0.55,0.55,0.55,1,MDY   250620P00320000
2024-11-08 18:00:00+00:00,34,26,620770926,8.08,8.08,8.08,8.08,20,MDY   250321C00650000
2024-11-08 18:00:00+00:00,34,29,637551738,0.6,0.6,0.6,0.6,7,MDY   250620P00325000
2024-11-08 19:00:00+00:00,34,37,637538142,7.0,7.0,7.0,7.0,1,MDY   241220C00620000
2024-11-08 19:00:00+00:00,34,26,620771505,1.78,1.78,1.78,1.78,5,MDY   241115C00615000
2024-11-08 19:00:00+00:00,34,29,620779201,24.3,24.3,24.3,24.3,1,MDY   241115C00580000
2024-11-08 19:00:00+00:00,34,26,620766339,0.85,0.85,0.85,0.85,4,MDY   250117P00420000
2024-11-08 19:00:00+00:00,34,28,637547204,0.71,0.71,0.71,0.71,10,MDY   241220P00410000
2024-11-08 19:00:00+00:00,34,20,620762441,145.98,145.98,145.98,145.98,5,MDY   250117C00460000
2024-11-08 19:00:00+00:00,34,37,620775313,33.0,33.1,33.0,33.1,2,MDY   241115C00570000
2024-11-08 19:00:00+00:00,34,26,620757746,3.6,3.6,3.6,3.6,1,MDY   241115P00600000
